row,alpha,CL,CD,CM,L,D,M,sequence
4,-5.0,-0.27469215488943977,0.01868928903718072,-0.028782206833223828,-13.307133567953626,0.9053802996592835,-0.2230911448428272,seq1
5,-4.0,-0.18796454648402133,0.011273201952076817,-0.00361506308679857,-9.21924934911903,0.552925866623505,-0.028369748345345665,seq1
6,-3.0,-0.11677799301875638,0.00903842046836234,0.011161098026937072,-5.623397235730458,0.4352414985329883,0.08599330907468339,seq1
7,-2.0,-0.04697172002874962,0.008442613976451973,0.018962285567094263,-2.285492287419448,0.41079034612806503,0.14762297787319995,seq1
8,-1.0,0.036105047041843696,0.007910723084452372,0.03515245441863389,1.7783357707772707,0.3896386512802832,0.27702660872126966,seq1
9,-0.0,0.12867708127328953,0.006871479392385231,0.05875720421239415,6.324421695119999,0.3377301763200008,0.46206250050230036,seq1
10,1.0,0.260162676743679,0.008014991460225674,0.09999152074653264,12.79598043389708,0.3942136327415833,0.7868858417620552,seq1
11,2.0,0.3504567401984182,0.009701302545001279,0.12287699027615727,17.40311816123755,0.48175108406527906,0.97629979887959,seq1
12,3.0,0.43824149161491077,0.011492514956613582,0.1432325494216849,21.330381921340344,0.5593713465102289,1.1154416151600535,seq1
13,4.0,0.5309111981909586,0.013635504569048926,0.16537900427702662,25.646802097174817,0.658692241506908,1.27823789987422,seq1
14,5.0,0.6246847967206142,0.016112789230201735,0.18802894200265646,30.043727641973124,0.7749320196777636,1.4468968291188138,seq1
15,6.0,0.7023241244267227,0.018182900690367463,0.20524846607069297,34.44299403955425,0.8917158307944126,1.6105092102358773,seq1
16,7.0,0.800989255456042,0.021511005213296193,0.22903720145757933,39.004106381641606,1.0474766421651418,1.7844716513044743,seq1
17,8.0,0.8812580302972208,0.02554015441521762,0.24743278300367627,42.36941507039366,1.2279279917770927,1.9033848293571174,seq1
19,9.0,0.9440854231177589,0.030233618101610293,0.26103669238021365,45.609068063495954,1.4605957385172856,2.017722545575877,seq1
20,9.5,0.9732596886456417,0.0333953627204442,0.2659321941103442,46.99683418131162,1.6125976884766562,2.0546164812341936,seq1
21,10.0,0.9892727722063235,0.038286283419286665,0.26713162845902166,48.35496348053825,1.8714068440559777,2.0891532449355554,seq1
22,10.5,1.0009902692092343,0.044421992557901725,0.26924772497121674,48.73995739856745,2.1629840882889138,2.097622412273855,seq1
23,11.0,1.0292980520409993,0.048699461265078695,0.272042659143782,49.61449825084139,2.347424374273393,2.098091608661595,seq1
24,11.5,1.0496329176809627,0.050435465202534085,0.2732518579099184,50.12775319417588,2.408667362959485,2.0879683115764145,seq1
25,12.0,1.0359947921614547,0.05527107280812086,0.2684616318206771,50.49049512915665,2.693704498822208,2.09340986134145,seq1
27,12.5,0.999653942825216,0.05624221487345688,0.2556141846963327,48.68442266056382,2.7390676342726823,1.991797916886528,seq1
29,13.0,0.9645185497370738,0.06417917319999555,0.24876967889022794,46.93955753716176,3.1233634583076455,1.937072320104538,seq1
31,13.49,0.935420557982614,0.07517941795218726,0.24775941337116614,45.20830316177546,3.6333752656005616,1.9158497341599807,seq1
33,14.0,0.8933009607256852,0.09180017653586907,0.25133833769182057,43.14429837257966,4.433728811733875,1.9422464249961122,seq1
35,14.5,1.0009568598069678,0.2085001020114361,0.33477361868562977,47.68544967194587,9.932916712293963,2.5517711999547927,seq1
58,15.0,0.9616372026455318,0.23997162223120944,0.3506636398550195,45.2991082134608,11.304159670305785,2.6429510213820357,seq2
60,15.5,0.8753775844068201,0.2409674160669687,0.3322428913393075,42.62922269895385,11.734654651536502,2.5887354590456098,seq2
62,16.0,0.7878962452766997,0.24072785908971267,0.3131995761813665,37.66293229102692,11.507247447632736,2.3954452382809905,seq2
63,17.0,0.7031904052291308,0.23674524039513806,0.2815776223900164,33.285456571997635,11.206315329674892,2.1325523561215896,seq2
